#mammos csv v2
#----------------------------------------
# MaMMoS OOMMF sweeps for axis 'hard'.
# Source: MaMMoS_benchmark_OOMMF_sweeps.csv
# H is the external applied field (from bParallel_mT / mu0).
# Constants: mu0=4*pi*1e-7 (H/m), Ms=800000.0 A/m
# 
#----------------------------------------
#,,
#,,
#,,
H,M,M_over_Ms
4450.943323769883,346880.0060710521,0.4336000075888151
3641.6809012228614,286044.461150353,0.3575555764379413
2832.4184787554186,223627.92163625103,0.2795349020453138
2023.156056287975,160277.60359849222,0.20034700449811527
1213.8936337409539,96373.67265104807,0.12046709081381009
404.6312112735105,32166.596737017684,0.040208245921272104
-404.6312112735105,-32140.074600258446,-0.040175093250323056
-1213.8936337409539,-96349.5383954775,-0.12043692299434688
-2023.156056287975,-160257.97454189576,-0.2003224681773697
-2832.4184787554186,-223614.75610062596,-0.27951844512578244
-3641.6809012228614,-286039.86061756796,-0.35754982577195993
-4450.943323769883,-346887.1015167249,-0.43360887689590616
-5260.205746237326,-404994.06640009646,-0.5062425830001206
-6069.468168784348,-458410.96365704807,-0.5730137045713101
-6878.73059125179,-504793.85716601246,-0.6309923214575156
-7687.993013719234,-542922.6785818397,-0.6786533482272996
-8497.255436266256,-573378.8621327748,-0.7167235776659685
-9306.517858733698,-597515.3543872226,-0.7468941929840281
-10115.780281280719,-616994.3750616802,-0.7712429688271003
-10925.042703748162,-633137.1480408731,-0.7914214350510914
-11734.305126295183,-646797.3353986971,-0.8084966692483714
-12543.567548762629,-658523.8159014778,-0.8231547698768473
-13352.82997123007,-668675.7881705613,-0.8358447352132017
-14162.09239377709,-677523.1795464737,-0.8469039744330921
-14971.354816244535,-685293.6322886857,-0.8566170403608571
-15780.617238791554,-692179.9902241359,-0.8652249877801699
-16589.879661259,-698337.6312308066,-0.8729220390385082
-17399.142083806022,-703888.1872457867,-0.8798602340572333
-18208.404506273466,-708925.7050735408,-0.886157131341926
-19017.666928740906,-713523.8692351145,-0.8919048365438932
-19826.92935128793,-717741.4587545132,-0.8971768234431414
-20636.191773755374,-721626.7025928742,-0.9020333782410928
-21445.45419630239,-725219.9283846079,-0.9065249104807599
-22254.71661876984,-728555.5806812306,-0.9106944758515383
-23063.979041316856,-731663.4715113302,-0.9145793393891628
-23873.2414637843,-734569.662178528,-0.91821207772316
-23077.466748324827,-731713.5081543115,-0.9146418851928894
-22267.97177915876,-728608.2512589425,-0.9107603140736782
-21458.4768099927,-725275.5599604585,-0.9065944499505731
-20648.981840826636,-721685.6816746428,-0.9021071020933036
-19839.486871660574,-717804.1973943475,-0.8972552467429344
-19029.99190241493,-713590.8480013653,-0.8919885600017067
-18220.49693324887,-708997.537747246,-0.8862469221840574
-17411.001964082803,-703965.5700502448,-0.879956962562806
-16601.50699491674,-698421.4798639828,-0.8730268498299785
-15792.012025750679,-692271.4696206361,-0.8653393370257951
-14982.517056584617,-685394.3140239955,-0.8567428925299945
-14173.022087418552,-677634.9254151173,-0.8470436567688966
-13363.527118252488,-668800.796102303,-0.8360009951278787
-12554.032149086428,-658664.5193753972,-0.8233306492192466
-11744.537179920364,-646957.0902763469,-0.8086963628454337
-10935.042210674721,-633320.0403071073,-0.791650050383884
-10125.547241508659,-617206.918132545,-0.7715086476656812
-9316.052272342597,-597769.1423024345,-0.7472114278780432
-8506.557303176533,-573689.765266217,-0.7171122065827712
-7697.06233401047,-543305.5097227979,-0.6791318871534974
-6887.567364844407,-505255.5023918321,-0.6315693779897902
-6078.072395678344,-458944.94098478445,-0.5736811762309806
-5268.57742651228,-405574.6150106606,-0.5069682687633258
-4459.082457346218,-347487.70786772465,-0.4343596348346558
-3649.587488180155,-286643.3587343061,-0.35830419841788264
-2840.0925189345144,-224211.87114921652,-0.28026483893652065
