#vtu   mu0 Hext(T)       J.h(T)      Jx(T)      Jy(T)      Jz(T)    e(J/m3) e_ms(J/m3) e_ex(J/m3) e_an(J/m3) e_ze(J/m3)
000 -2.881590e-02 -9.84251e-01 -8.225e-01 -5.694e-01  3.153e-05 -2.014e+04  2.411e+03  1.428e+01  0.000e+00 -2.257e+04
000 -2.876590e-02 -9.84196e-01 -8.227e-01 -5.692e-01  3.215e-05 -2.011e+04  2.410e+03  1.427e+01  0.000e+00 -2.253e+04
000 -2.871590e-02 -9.84196e-01 -8.227e-01 -5.692e-01  3.216e-05 -2.007e+04  2.410e+03  1.427e+01  0.000e+00 -2.249e+04
000 -2.866590e-02 -9.84092e-01 -8.229e-01 -5.688e-01  3.202e-05 -2.003e+04  2.407e+03  1.430e+01  0.000e+00 -2.245e+04
000 -2.861590e-02 -9.84092e-01 -8.229e-01 -5.688e-01  3.202e-05 -1.999e+04  2.407e+03  1.430e+01  0.000e+00 -2.241e+04
000 -2.856590e-02 -9.83968e-01 -8.232e-01 -5.683e-01  3.141e-05 -1.995e+04  2.404e+03  1.431e+01  0.000e+00 -2.237e+04
000 -2.851590e-02 -9.83968e-01 -8.232e-01 -5.683e-01  3.140e-05 -1.991e+04  2.404e+03  1.431e+01  0.000e+00 -2.233e+04
000 -2.846590e-02 -9.83872e-01 -8.235e-01 -5.679e-01  3.143e-05 -1.987e+04  2.402e+03  1.434e+01  0.000e+00 -2.229e+04
000 -2.841590e-02 -9.83872e-01 -8.235e-01 -5.679e-01  3.143e-05 -1.983e+04  2.402e+03  1.434e+01  0.000e+00 -2.225e+04
000 -2.836590e-02 -9.83774e-01 -8.237e-01 -5.675e-01  3.115e-05 -1.979e+04  2.400e+03  1.434e+01  0.000e+00 -2.221e+04
000 -2.831590e-02 -9.83699e-01 -8.239e-01 -5.672e-01  3.112e-05 -1.975e+04  2.398e+03  1.435e+01  0.000e+00 -2.217e+04
000 -2.826590e-02 -9.83670e-01 -8.240e-01 -5.671e-01  3.127e-05 -1.971e+04  2.397e+03  1.435e+01  0.000e+00 -2.213e+04
000 -2.821590e-02 -9.83670e-01 -8.240e-01 -5.671e-01  3.126e-05 -1.967e+04  2.397e+03  1.435e+01  0.000e+00 -2.209e+04
000 -2.816590e-02 -9.83518e-01 -8.244e-01 -5.665e-01  3.130e-05 -1.964e+04  2.394e+03  1.439e+01  0.000e+00 -2.204e+04
000 -2.811590e-02 -9.83518e-01 -8.244e-01 -5.665e-01  3.131e-05 -1.960e+04  2.394e+03  1.439e+01  0.000e+00 -2.201e+04
000 -2.806590e-02 -9.83405e-01 -8.247e-01 -5.661e-01  3.075e-05 -1.956e+04  2.392e+03  1.439e+01  0.000e+00 -2.196e+04
000 -2.801590e-02 -9.83405e-01 -8.247e-01 -5.661e-01  3.075e-05 -1.952e+04  2.392e+03  1.439e+01  0.000e+00 -2.192e+04
000 -2.796590e-02 -9.83293e-01 -8.249e-01 -5.656e-01  3.069e-05 -1.948e+04  2.389e+03  1.442e+01  0.000e+00 -2.188e+04
000 -2.791590e-02 -9.83293e-01 -8.249e-01 -5.656e-01  3.070e-05 -1.944e+04  2.389e+03  1.442e+01  0.000e+00 -2.184e+04
000 -2.786590e-02 -9.83179e-01 -8.252e-01 -5.652e-01  3.064e-05 -1.940e+04  2.386e+03  1.442e+01  0.000e+00 -2.180e+04
000 -2.781590e-02 -9.83144e-01 -8.253e-01 -5.650e-01  3.059e-05 -1.936e+04  2.386e+03  1.443e+01  0.000e+00 -2.176e+04
000 -2.776590e-02 -9.83085e-01 -8.255e-01 -5.648e-01  3.101e-05 -1.932e+04  2.384e+03  1.443e+01  0.000e+00 -2.172e+04
000 -2.771590e-02 -9.82996e-01 -8.257e-01 -5.645e-01  3.037e-05 -1.928e+04  2.382e+03  1.444e+01  0.000e+00 -2.168e+04
000 -2.766590e-02 -9.82996e-01 -8.257e-01 -5.645e-01  3.037e-05 -1.924e+04  2.382e+03  1.444e+01  0.000e+00 -2.164e+04
000 -2.761590e-02 -9.82996e-01 -8.257e-01 -5.645e-01  3.037e-05 -1.921e+04  2.382e+03  1.444e+01  0.000e+00 -2.160e+04
000 -2.756590e-02 -9.82835e-01 -8.261e-01 -5.639e-01  2.987e-05 -1.917e+04  2.379e+03  1.449e+01  0.000e+00 -2.156e+04
000 -2.751590e-02 -9.82765e-01 -8.263e-01 -5.636e-01  2.987e-05 -1.913e+04  2.377e+03  1.445e+01  0.000e+00 -2.152e+04
000 -2.746590e-02 -9.82765e-01 -8.263e-01 -5.636e-01  2.987e-05 -1.909e+04  2.377e+03  1.445e+01  0.000e+00 -2.148e+04
000 -2.741590e-02 -9.82647e-01 -8.266e-01 -5.631e-01  3.044e-05 -1.905e+04  2.375e+03  1.450e+01  0.000e+00 -2.144e+04
000 -2.736590e-02 -9.82647e-01 -8.266e-01 -5.631e-01  3.044e-05 -1.901e+04  2.375e+03  1.450e+01  0.000e+00 -2.140e+04
000 -2.731590e-02 -9.82522e-01 -8.269e-01 -5.626e-01  2.961e-05 -1.897e+04  2.372e+03  1.450e+01  0.000e+00 -2.136e+04
000 -2.726590e-02 -9.82522e-01 -8.269e-01 -5.626e-01  2.961e-05 -1.893e+04  2.372e+03  1.450e+01  0.000e+00 -2.132e+04
000 -2.721590e-02 -9.82394e-01 -8.272e-01 -5.621e-01  2.951e-05 -1.889e+04  2.369e+03  1.452e+01  0.000e+00 -2.128e+04
000 -2.716590e-02 -9.82394e-01 -8.272e-01 -5.621e-01  2.951e-05 -1.885e+04  2.369e+03  1.452e+01  0.000e+00 -2.124e+04
000 -2.711590e-02 -9.82279e-01 -8.275e-01 -5.617e-01  2.919e-05 -1.881e+04  2.367e+03  1.454e+01  0.000e+00 -2.120e+04
